nAromAtom,nAromBond,AATS1p,AATS3p,AATS0i,AATS1i,AATS2i,AATS3i,AATS4i,AATS5i,AATS6i,AATS7i,AATS8i,ATSC1se,MATS1se,MATS1pe,MATS1are,GATS1se,GATS1pe,GATS1are,GATS1i,nAromBond,nBondsM,nBondsKD,C2SP2,C3SP2,NaaCH,NaasC,SaaCH,ETA_beta_ns,AETA_beta_ns,ETA_dBeta,AETA_dBeta,IC1,SIC1,SIC2,BIC1,BIC2,CIC1,CIC2,ZMIC1,FilterItLogS,PEOE_VSA6,SMR_VSA7,SMR_VSA9,SlogP_VSA6,SlogP_VSA11,EState_VSA7,VSA_EState6,MDEC-12,MDEC-22,MDEC-23,AMID_h,AMID_C,n6Ring,nRing,n6aRing,SLogP,Normalized RT (min)
15,16,1.87,1.59,163,148,158,154,160,159,162,162,166,0.0627,0.0132,-0.0316,-0.0777,0.67,0.709,0.765,1.53,16,19,10,9,2,8,3,13.5,19,0.679,0.75,0.0268,3.82,0.677,0.816,0.641,0.773,1.83,1.04,44.5,-3.61,24.3,54.6,0,53.8,0,31.1,9.03,4.43,8.17,17.2,0.618,1.39,2,3,2,1.61,2.17
10,11,1.87,1.5,164,148,158,156,160,159,163,162,170,0.26,0.0909,-0.0312,-0.0953,0.613,0.767,0.828,1.42,11,13,7,8,2,6,2,11,13.5,0.643,0.75,0.0357,3.33,0.617,0.784,0.589,0.749,2.07,1.17,41.8,-4.09,24.3,36.4,0,41.3,0,43.3,11,3.23,9.63,12.3,0.544,1.45,2,2,2,1.53,2.63
20,22,1.97,1.64,161,145,156,153,157,158,162,161,168,0.753,0.146,0.0186,-0.0518,0.496,0.646,0.713,1.43,22,26,14,16,4,12,4,21.5,27,0.73,4,0.108,3.22,0.528,0.671,0.502,0.638,2.89,2.01,80.1,-7.61,48.5,72.8,0,82.6,0,74.4,21.5,7.16,17.8,23.4,0.527,1.5,4,4,4,3.77,20.49
16,17,1.98,1.67,159,143,151,150,154,157,160,155,162,0.275,0.0559,-0.0185,-0.0637,0.611,0.657,0.71,1.23,17,20,11,13,3,10,4,16.5,21.5,0.796,4.75,0.176,3.43,0.62,0.777,0.583,0.729,2.1,1.23,55,-4.57,36.4,66.2,5.75,65.6,5.75,31.1,16.5,3.45,12.7,20.6,0.489,1.53,3,3,3,3.3,16.91
26,28,2.07,1.79,159,143,153,150,155,156,159,157,162,0.425,0.0566,-0.0329,-0.081,0.651,0.715,0.776,1.27,28,32,17,21,5,15,7,25.5,34,0.739,5.25,0.114,3.82,0.605,0.746,0.574,0.708,2.5,1.6,84.9,-8.12,54.6,100,5.75,101,5.75,90.9,24,6.85,17.7,35.7,0.539,1.49,5,5,5,5.55,23.88
26,28,1.97,1.7,160,143,154,150,154,157,159,159,163,0.852,0.126,0.0333,-0.0298,0.557,0.642,0.708,1.36,28,32,17,21,5,15,7,26.2,34,0.773,6.25,0.142,3.39,0.538,0.698,0.511,0.662,2.91,1.9,87.7,-8.97,54.6,96.6,11.5,101,11.5,74.4,26.2,9.39,20.5,32.6,0.489,1.55,5,5,5,5.42,25.49
19,21,1.87,1.51,165,150,159,158,162,162,164,166,167,-1.97,-0.217,-0.232,-0.283,0.994,0.963,1.04,1.59,21,24,12,9,2,8,3,12.6,23.5,0.603,-4,-0.103,4.28,0.713,0.865,0.677,0.821,1.72,0.809,52.6,-1.93,24.3,49.1,0,53.9,0,31.1,10.3,2.95,7.12,20,0.848,1.19,3,4,3,0.575,1.75
19,21,1.83,1.5,165,149,158,158,162,162,165,164,167,-0.64,-0.0937,-0.105,-0.144,0.865,0.834,0.895,1.53,21,23,11,9,2,8,3,13,22,0.629,-2.5,-0.0714,4.06,0.69,0.854,0.654,0.809,1.82,0.856,51.8,-2.84,24.3,49.1,0,53.9,0,31.1,10.5,2.95,7.12,20,0.733,1.32,3,4,3,0.458,3.94
10,11,1.99,1.69,162,146,155,150,155,159,166,169,183,0.28,0.113,-0.0348,-0.105,0.522,0.682,0.752,1.3,11,13,7,8,2,6,2,10.6,13.5,0.794,3.25,0.191,3.2,0.645,0.746,0.605,0.699,1.76,1.26,39.4,-2.85,24.3,36.4,0,41.3,0,37.2,10.6,2.73,6.12,11.1,0.544,1.45,2,2,2,1.55,5.82
10,11,1.9,1.56,163,146,156,154,158,158,162,162,170,0.107,0.0257,-0.0483,-0.0934,0.63,0.694,0.746,1.41,11,14,8,8,2,6,2,10.5,15,0.682,1.5,0.0682,3.57,0.67,0.807,0.635,0.765,1.76,1.03,41.3,-3.41,24.3,36.4,0,41.3,0,31.1,10.5,3.09,8.1,13.4,0.596,1.39,2,2,2,1.66,7.24
